# SFHo_cold_beta_1D.d converted to units with G=c=Msun=1
# 
# T = 0.1
# Ye at beta equilibrium 
# 
# 
# 
# 
#
# rho0=nB*mB           epsl=(rho-rho0)/rho0    P
#
1.3580791437293537e-09 2.4162466180821518e-04 5.5415986775025909e-13
1.3970674428771821e-09 2.5311194687893668e-04 5.7519634665178798e-13
1.4371750342823574e-09 2.6471826763341255e-04 5.9703444245409613e-13
1.4784340510510863e-09 2.7640688312158268e-04 6.1968538793445432e-13
1.5208775487801136e-09 2.8819968896853787e-04 6.4318931954395982e-13
1.5645395320399581e-09 3.0011996415724163e-04 6.6758928569327283e-13
1.6094549816184497e-09 3.1212941964331442e-04 6.9289746413642635e-13
1.6556598825463799e-09 3.2423427756023138e-04 7.1914939210893301e-13
1.7031912529277228e-09 3.3646899250272533e-04 7.4639798302216295e-13
1.7520871735975308e-09 3.4880406290582755e-04 7.7466194588907277e-13
1.8023868186312565e-09 3.6122666930249459e-04 8.0396904972667993e-13
1.8541304867299565e-09 3.7377510760028265e-04 8.3437844641722706e-13
1.9073596335065035e-09 3.8643687606998434e-04 8.6592065364284231e-13
1.9621169046986920e-09 3.9918074596401176e-04 8.9861400470063572e-13
2.0184461703358418e-09 4.1204064541067176e-04 9.3251830351594430e-13
2.0763925598862614e-09 4.2502394875176819e-04 9.6767793314064346e-13
2.1360024984137497e-09 4.3808701763858870e-04 1.0041023296249943e-12
2.1973237437720843e-09 4.5125118123245933e-04 1.0418432308190506e-12
2.2604054248673097e-09 4.6454053406397300e-04 1.0809540753576567e-12
2.3252980810184772e-09 4.7790853553819623e-04 1.1214353654102495e-12
2.3920537024483621e-09 4.9136204661870408e-04 1.1633516391617661e-12
2.4607257719366143e-09 5.0494023163616397e-04 1.2067877613001271e-12
2.5313693076686925e-09 5.1860873898923465e-04 1.2517619635817637e-12
2.6040409073149400e-09 5.3234933281642860e-04 1.2983024223531402e-12
2.6787987933750852e-09 5.4620189902943039e-04 1.3464822531902212e-12
2.7557028598245159e-09 5.6015086096805611e-04 1.3963291797741641e-12
2.8348147200997050e-09 5.7415711382824419e-04 1.4478472681715287e-12
2.9161977564612004e-09 5.8825423004349453e-04 1.5010958923626289e-12
2.9999171707737689e-09 6.0244804538678309e-04 1.5561060869752190e-12
3.0860400367443416e-09 6.1668624044153297e-04 1.6128508154949482e-12
3.1746353536596434e-09 6.3098819391416150e-04 1.6713538611146247e-12
3.2657741016665274e-09 6.4537979529544209e-04 1.7316333119281121e-12
3.3595292986393335e-09 6.5981179375707022e-04 1.7936292202424132e-12
3.4559760586798116e-09 6.7429178578248816e-04 1.8573316559127963e-12
3.5551916522964942e-09 6.8887634776637618e-04 1.9228003388065112e-12
3.6572555683117010e-09 7.0356112447411689e-04 1.9900952608207267e-12
